order_id,order_date,updated_date,status,channel,fulfillment,shipping_tier,product_id,category,quantity,currency,unit_price,tax,shipping_cost,discount,city,state,country,payment_method,is_business
ORD-0329,2026-02-28 12:35:00,2026-02-28 19:50:27,Shipped,MX,Platform,Standard,PROD-13,Bundle,1,MXN,799.2,,,,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,MX,CreditCard,False
ORD-0534,2026-02-28 03:09:07,2026-03-04 08:10:56,Shipped,MX,Platform,Expedited,PROD-11,Bundle,1,MXN,611.0,,,,ZAPOPAN,JALISCO,MX,CreditCard,False
ORD-0282,2026-02-27 22:39:40,2026-03-01 00:18:31,Shipped,MX,Platform,Standard,PROD-15,Bundle,1,MXN,356.4,,,,CIUDAD DE MÉXICO,DISTRITO FEDERAL,MX,CreditCard,False
ORD-0488,2026-02-27 20:38:11,2026-03-04 03:33:34,Shipped,MX,Platform,Standard,PROD-13,Bundle,1,MXN,799.2,,,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0235,2026-02-27 18:05:20,2026-03-03 19:03:01,Shipped,MX,Platform,Expedited,PROD-15,Bundle,1,MXN,356.4,,,,CUERNAVACA,MORELOS,MX,CreditCard,False
ORD-0132,2026-02-27 17:31:21,2026-03-01 00:20:48,Shipped,MX,Platform,Standard,PROD-15,Bundle,1,MXN,356.4,,,71.28,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0003,2026-02-27 17:17:00,2026-02-27 17:32:17,Cancelled,MX,Platform,Standard,PROD-13,Bundle,0,,,,,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0228,2026-02-27 16:56:31,2026-03-05 02:53:45,Shipped,MX,Platform,Expedited,PROD-11,Bundle,1,MXN,611.0,,,,PROGRESO,YUCATAN,MX,CreditCard,False
ORD-0579,2026-02-27 15:46:54,2026-03-01 04:54:49,Shipped,MX,Platform,Standard,PROD-15,Bundle,1,MXN,356.4,,,71.28,OCOYOACAC,MEXICO,MX,CreditCard,False
ORD-0427,2026-02-27 15:28:27,2026-02-28 00:25:45,Shipped,MX,Platform,Expedited,PROD-13,Bundle,1,MXN,799.2,,,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0185,2026-02-27 00:29:34,2026-02-28 04:53:40,Shipped,MX,Platform,Standard,PROD-11,Bundle,1,MXN,611.0,,,,NUEVO LAREDO,TAMAULIPAS,MX,Other,False
ORD-0399,2026-02-26 21:16:18,2026-02-27 08:34:07,Shipped,MX,Seller,Standard,PROD-39,Smoked Salt,1,MXN,135.0,,83.02,,HEROICA PUEBLA DE ZARAGOZA,PUEBLA,MX,CreditCard,False
ORD-0375,2026-02-26 20:45:40,2026-02-28 00:26:41,Shipped,MX,Platform,Standard,PROD-15,Bundle,1,MXN,356.4,,,,HERMOSILLO,SONORA,MX,CreditCard,False
ORD-0079,2026-02-26 19:24:20,2026-02-27 08:49:23,Shipped,MX,Seller,Standard,PROD-39,Smoked Salt,1,MXN,135.0,,83.02,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0248,2026-02-26 18:58:24,2026-02-26 22:44:48,Shipped,MX,Platform,Expedited,PROD-15,Bundle,1,MXN,356.4,,,71.28,CIUDAD APODACA,NUEVO LEON,MX,CreditCard,False
ORD-0056,2026-02-26 18:51:10,2026-02-26 20:43:52,Shipped,MX,Seller,Standard,PROD-46,Sauce,2,MXN,198.0,,88.83,,MERIDA,YUCATAN,MX,CreditCard,False
ORD-0221,2026-02-26 16:14:22,2026-02-27 04:58:23,Shipped,MX,Platform,Expedited,PROD-13,Bundle,1,MXN,799.2,,17.5,,IRAPUATO,GUANAJUATO,MX,CreditCard,False
ORD-0524,2026-02-26 15:53:59,2026-02-26 17:11:46,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,83.08,,ZAPOPAN,JALISCO,MX,CreditCard,False
ORD-0249,2026-02-26 13:59:16,2026-02-26 19:45:37,Shipped,MX,Platform,Expedited,PROD-13,Bundle,1,MXN,799.2,,45.0,,GUADALUPE,NUEVO LEON,MX,"GiftCertificate, CreditCard",False
ORD-0383,2026-02-26 13:44:20,2026-02-26 13:45:22,Cancelled,MX,Platform,Expedited,PROD-13,Bundle,0,,,,,,GUADALUPE,NUEVO LEON,MX,CreditCard,False
ORD-0500,2026-02-26 05:08:34,2026-02-28 02:54:44,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,83.08,,TLAQUEPAQUE,JALISCO,MX,CreditCard,False
ORD-0553,2026-02-26 04:46:42,2026-02-27 04:57:31,Shipped,MX,Platform,Standard,PROD-13,Bundle,1,MXN,799.2,,,,GENERAL ZUAZUA,NUEVO LEON,MX,"GiftCertificate, CreditCard",False
ORD-0040,2026-02-25 23:50:32,2026-02-26 15:58:13,Shipped,MX,Seller,Standard,PROD-38,Smoked Salt,1,MXN,135.0,,83.02,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0146,2026-02-25 19:36:32,2026-02-25 20:31:22,Shipped,MX,Seller,Standard,PROD-49,Sauce,6,MXN,594.0,,107.05,,MONTERREY,NUEVO LEON,MX,CreditCard,False
ORD-0378,2026-02-25 18:37:31,2026-02-26 00:25:21,Shipped,MX,Platform,Standard,PROD-13,Bundle,1,MXN,799.2,,,,ECATEPEC DE MORELOS,MEXICO,MX,CreditCard,False
ORD-0078,2026-02-25 17:33:17,2026-02-26 04:56:21,Shipped,MX,Platform,Standard,PROD-13,Bundle,1,MXN,799.2,,29.0,,BAHIA DE BANDERAS,NAYARIT,MX,CreditCard,False
ORD-0119,2026-02-25 16:28:27,2026-02-26 09:57:15,Shipped,MX,Platform,Expedited,PROD-15,Bundle,1,MXN,356.4,,,71.28,CIUDAD GENERAL ESCOBEDO,NUEVO LEON,MX,CreditCard,False
ORD-0401,2026-02-25 15:55:40,2026-02-25 16:50:36,Shipped,MX,Seller,Standard,PROD-25,Seasoning,1,MXN,99.0,,18.25,,CIUDAD BENITO JUAREZ,NUEVO LEON,MX,CreditCard,False
ORD-0401,2026-02-25 15:55:40,2026-02-25 16:50:36,Shipped,MX,Seller,Standard,PROD-22,Seasoning,1,MXN,99.0,,18.73,,CIUDAD BENITO JUAREZ,NUEVO LEON,MX,CreditCard,False
ORD-0401,2026-02-25 15:55:40,2026-02-25 16:50:36,Shipped,MX,Seller,Standard,PROD-30,Seasoning,1,MXN,99.0,,17.27,,CIUDAD BENITO JUAREZ,NUEVO LEON,MX,CreditCard,False
ORD-0401,2026-02-25 15:55:40,2026-02-25 16:50:36,Shipped,MX,Seller,Standard,PROD-23,Seasoning,1,MXN,99.0,,18.44,,CIUDAD BENITO JUAREZ,NUEVO LEON,MX,CreditCard,False
ORD-0401,2026-02-25 15:55:40,2026-02-25 16:50:36,Shipped,MX,Seller,Standard,PROD-24,Seasoning,1,MXN,99.0,,16.0,,CIUDAD BENITO JUAREZ,NUEVO LEON,MX,CreditCard,False
ORD-0149,2026-02-25 15:06:55,2026-03-04 10:29:51,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,83.08,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0332,2026-02-25 14:28:36,2026-02-25 18:28:59,Shipped,MX,Seller,Standard,PROD-17,Bundle,1,MXN,540.0,,93.08,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,"GiftCertificate, CreditCard",False
ORD-0133,2026-02-25 13:47:25,2026-02-25 13:50:24,Cancelled,MX,Platform,Standard,PROD-13,Bundle,0,,,,,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0216,2026-02-25 13:42:20,2026-02-25 13:45:32,Cancelled,MX,Platform,Standard,PROD-13,Bundle,0,,,,,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0573,2026-02-25 07:08:20,2026-02-25 07:10:04,Cancelled,MX,Seller,Standard,PROD-33,Seasoning,0,,,,,,MONTERREY,NUEVO LEON,MX,CreditCard,False
ORD-0573,2026-02-25 07:08:20,2026-02-25 07:10:04,Cancelled,MX,Seller,Standard,PROD-26,Seasoning,0,,,,,,MONTERREY,NUEVO LEON,MX,CreditCard,False
ORD-0573,2026-02-25 07:08:20,2026-02-25 07:10:04,Cancelled,MX,Seller,Standard,PROD-29,Seasoning,0,,,,,,MONTERREY,NUEVO LEON,MX,CreditCard,False
ORD-0573,2026-02-25 07:08:20,2026-02-25 07:10:04,Cancelled,MX,Seller,Standard,PROD-44,Smoked Salt,0,,,,,,MONTERREY,NUEVO LEON,MX,CreditCard,False
ORD-0438,2026-02-25 05:28:15,2026-02-26 02:01:24,Shipped,MX,Seller,Standard,PROD-26,Seasoning,1,MXN,99.0,,82.44,,MEXICALI,BAJA CALIFORNIA,MX,CreditCard,False
ORD-0087,2026-02-25 04:58:09,2026-02-28 05:28:44,Cancelled,MX,Seller,Standard,PROD-17,Bundle,0,,,,,,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,MX,CreditCard,False
ORD-0322,2026-02-25 02:39:52,2026-02-25 15:20:31,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,29.74,,CORREGIDORA,QUERETARO,MX,CreditCard,False
ORD-0322,2026-02-25 02:39:52,2026-02-25 15:20:31,Shipped,MX,Seller,Standard,PROD-26,Seasoning,1,MXN,99.0,,29.11,,CORREGIDORA,QUERETARO,MX,CreditCard,False
ORD-0322,2026-02-25 02:39:52,2026-02-25 15:20:31,Shipped,MX,Seller,Standard,PROD-08,Snack,1,MXN,150.0,,28.42,,CORREGIDORA,QUERETARO,MX,CreditCard,False
ORD-0337,2026-02-25 02:33:15,2026-02-25 20:23:55,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,83.08,,CANCUN,QUINTANA ROO,MX,CreditCard,False
ORD-0077,2026-02-25 02:29:28,2026-02-27 05:37:24,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,4,MXN,540.0,,92.32,,MERIDA,YUCATAN,MX,CreditCard,False
ORD-0236,2026-02-25 02:06:43,2026-02-25 15:22:45,Shipped,MX,Seller,Standard,PROD-33,Seasoning,1,MXN,99.0,,40.13,,CIUDAD ADOLFO LOPEZ MATEOS,MEXICO,MX,CreditCard,False
ORD-0236,2026-02-25 02:06:43,2026-02-25 15:22:45,Shipped,MX,Seller,Standard,PROD-29,Seasoning,1,MXN,99.0,13.66,36.65,,CIUDAD ADOLFO LOPEZ MATEOS,MEXICO,MX,CreditCard,False
ORD-0486,2026-02-24 23:39:21,2026-02-25 15:20:29,Shipped,MX,Seller,Standard,PROD-17,Bundle,1,MXN,540.0,,93.08,,CIUDAD GUZMAN,JALISCO,MX,CreditCard,False
ORD-0278,2026-02-24 22:45:52,2026-02-24 22:46:21,Cancelled,MX,Seller,Standard,PROD-29,Seasoning,0,,,,,,CORREGIDORA,QUERETARO,MX,CreditCard,False
ORD-0011,2026-02-24 22:45:13,2026-02-24 22:47:02,Cancelled,MX,Seller,Standard,PROD-40,Smoked Salt,0,,,,,,CORREGIDORA,QUERETARO,MX,CreditCard,False
ORD-0011,2026-02-24 22:45:13,2026-02-24 22:47:02,Cancelled,MX,Seller,Standard,PROD-26,Seasoning,0,,,,,,CORREGIDORA,QUERETARO,MX,CreditCard,False
ORD-0209,2026-02-24 20:14:11,2026-02-25 23:30:12,Shipped,MX,Seller,Standard,PROD-31,Seasoning,1,MXN,99.0,,28.91,,OCOYOACAC,MEXICO,MX,CreditCard,False
ORD-0209,2026-02-24 20:14:11,2026-02-25 23:30:12,Shipped,MX,Seller,Standard,PROD-22,Seasoning,1,MXN,99.0,,29.4,,OCOYOACAC,MEXICO,MX,CreditCard,False
ORD-0209,2026-02-24 20:14:11,2026-02-25 23:30:12,Shipped,MX,Seller,Standard,PROD-33,Seasoning,1,MXN,99.0,,26.8,,OCOYOACAC,MEXICO,MX,CreditCard,False
ORD-0466,2026-02-24 16:33:23,2026-02-27 18:14:05,Cancelled,MX,Platform,Standard,PROD-11,Bundle,0,,,,,,SOLIDARIDAD,QUINTANA ROO,MX,CreditCard,False
ORD-0394,2026-02-24 16:31:41,2026-02-24 16:33:00,Cancelled,MX,Platform,Standard,PROD-11,Bundle,0,,,,,,VALLADOLID,YUCATAN,MX,CreditCard,False
ORD-0347,2026-02-24 15:35:56,2026-02-25 08:37:13,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,83.08,,METEPEC,MEXICO,MX,"GiftCertificate, CreditCard",False
ORD-0605,2026-02-24 05:49:45,2026-02-26 20:39:02,Shipped,MX,Seller,Standard,PROD-33,Seasoning,1,MXN,99.0,,80.13,,ZAPOPAN,JALISCO,MX,"CreditCard, GiftCertificate",False
ORD-0031,2026-02-24 04:06:22,2026-02-24 15:02:53,Shipped,MX,Seller,Standard,PROD-26,Seasoning,1,MXN,99.0,,82.44,,IXTAPALUCA,MEXICO,MX,CreditCard,False
ORD-0576,2026-02-23 23:36:35,2026-02-24 15:05:31,Shipped,MX,Seller,Standard,PROD-10,Bundle,1,MXN,495.0,,114.99,,HUIXQUILUCAN DE DEGOLLADO,MEXICO,MX,CreditCard,False
ORD-0205,2026-02-23 18:49:26,2026-02-24 02:52:31,Shipped,MX,Platform,Expedited,PROD-11,Bundle,1,MXN,611.0,,,,SALTILLO,COAHUILA DE ZARAGOZA,MX,CreditCard,False
ORD-0312,2026-02-23 15:35:36,2026-02-25 09:58:04,Shipped,MX,Platform,Standard,PROD-13,Bundle,1,MXN,799.2,,,,JUAREZ,CHIHUAHUA,MX,CreditCard,False
ORD-0512,2026-02-23 05:20:12,2026-03-10 12:31:00,Shipped,MX,Seller,Standard,PROD-33,Seasoning,1,MXN,99.0,,80.13,,MONTEMORELOS,NUEVO LEON,MX,CreditCard,False
ORD-0141,2026-02-23 01:00:38,2026-02-23 05:36:45,Shipped,MX,Platform,Standard,PROD-13,Bundle,1,MXN,799.2,,,,METEPEC,MÉXICO,MX,CreditCard,False
ORD-0474,2026-02-23 00:39:08,2026-02-23 15:18:14,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,83.08,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0580,2026-02-22 23:48:12,2026-02-24 00:04:33,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,83.08,,TIJUANA,BAJA CALIFORNIA,MX,CreditCard,False
ORD-0057,2026-02-22 22:40:57,2026-02-23 15:21:26,Shipped,MX,Seller,Expedited,PROD-33,Seasoning,1,MXN,99.0,,75.13,,CHIHUAHUA,CHIHUAHUA,MX,CreditCard,False
ORD-0057,2026-02-22 22:40:57,2026-02-23 15:21:26,Shipped,MX,Seller,Expedited,PROD-40,Smoked Salt,1,MXN,135.0,,78.08,,CHIHUAHUA,CHIHUAHUA,MX,CreditCard,False
ORD-0617,2026-02-22 22:27:58,2026-02-23 06:33:38,Shipped,MX,Platform,Expedited,PROD-11,Bundle,1,MXN,611.0,,,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,Installments,False
ORD-0506,2026-02-22 21:16:38,2026-02-23 23:59:16,Shipped,MX,Platform,Expedited,PROD-13,Bundle,1,MXN,799.2,,,,CIUDAD APODACA,NUEVO LEON,MX,CreditCard,False
ORD-0229,2026-02-22 14:25:39,2026-02-25 08:31:30,Shipped,MX,Platform,Standard,PROD-13,Bundle,1,MXN,799.2,,,,HUIXQUILUCAN DE DEGOLLADO,MEXICO,MX,Installments,False
ORD-0210,2026-02-22 04:26:58,2026-02-26 00:39:03,Shipped,MX,Platform,Expedited,PROD-11,Bundle,1,MXN,611.0,,,,PUERTO VALLARTA,JALISCO,MX,CreditCard,False
ORD-0025,2026-02-22 04:09:20,2026-02-23 04:52:57,Shipped,MX,Platform,Standard,PROD-13,Bundle,1,MXN,799.2,,29.0,,PESQUERIA,NUEVO LEON,MX,CreditCard,False
ORD-0479,2026-02-21 22:49:34,2026-03-10 04:51:18,Shipped,MX,Seller,Standard,PROD-14,Bundle,1,MXN,600.0,,80.0,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0369,2026-02-21 21:16:31,2026-02-23 09:58:03,Shipped,MX,Platform,Standard,PROD-11,Bundle,3,MXN,1833.0,,,,CIUDAD GENERAL ESCOBEDO,NUEVO LEON,MX,CreditCard,False
ORD-0362,2026-02-21 20:19:34,2026-02-21 20:20:39,Cancelled,MX,Seller,Standard,PROD-49,Sauce,0,,,,,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0364,2026-02-21 17:39:49,2026-02-22 04:51:34,Shipped,MX,Platform,Standard,PROD-13,Bundle,1,MXN,799.2,,,,TIJUANA,BAJA CALIFORNIA,MX,CreditCard,False
ORD-0469,2026-02-21 16:43:59,2026-02-22 04:51:36,Shipped,MX,Platform,Standard,PROD-13,Bundle,1,MXN,799.2,,,,GUANAJUATO,GUANAJUATO,MX,"GiftCertificate, CreditCard",False
ORD-0071,2026-02-21 15:34:41,2026-02-21 18:07:51,Shipped,MX,Seller,Standard,PROD-31,Seasoning,1,MXN,99.0,,82.25,,HUIXQUILUCAN DE DEGOLLADO,MÉXICO,MX,CreditCard,False
ORD-0353,2026-02-21 04:50:20,2026-02-21 17:16:05,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,83.08,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0177,2026-02-21 04:37:47,2026-02-22 08:34:22,Shipped,MX,Platform,Expedited,PROD-13,Bundle,1,MXN,799.2,,,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0618,2026-02-21 04:08:17,2026-02-22 08:39:34,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,83.08,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
ORD-0061,2026-02-20 23:53:41,2026-02-21 14:47:22,Shipped,MX,Seller,Standard,PROD-24,Seasoning,1,MXN,99.0,,80.0,,TIJUANA,BAJA CALIFORNIA,MX,CreditCard,False
ORD-0602,2026-02-20 15:48:41,2026-02-20 18:15:34,Shipped,MX,Seller,Standard,PROD-33,Seasoning,4,MXN,396.0,,80.51,,SAN ANDRES CHOLULA,PUEBLA,MX,CreditCard,False
ORD-0102,2026-02-20 15:39:40,2026-02-20 15:40:41,Cancelled,MX,Seller,Standard,PROD-33,Seasoning,0,,,,,,SAN ANDRES CHOLULA,PUEBLA,MX,CreditCard,False
ORD-0204,2026-02-20 13:30:52,2026-02-21 04:34:49,Shipped,MX,Platform,Expedited,PROD-11,Bundle,1,MXN,611.0,,,,Queretaro,Queretaro,MX,CreditCard,False
ORD-0591,2026-02-20 12:25:59,2026-02-20 18:47:08,Shipped,MX,Seller,Standard,PROD-26,Seasoning,1,MXN,99.0,,29.1,,tampico,tamaulipas,MX,CreditCard,False
ORD-0591,2026-02-20 12:25:59,2026-02-20 18:47:08,Shipped,MX,Seller,Standard,PROD-22,Seasoning,1,MXN,99.0,,29.4,,tampico,tamaulipas,MX,CreditCard,False
ORD-0591,2026-02-20 12:25:59,2026-02-20 18:47:08,Shipped,MX,Seller,Standard,PROD-20,Seasoning,1,MXN,99.0,,28.92,,tampico,tamaulipas,MX,CreditCard,False
ORD-0091,2026-02-20 02:32:24,2026-02-20 12:44:11,Cancelled,MX,Seller,Standard,PROD-26,Seasoning,0,,,,,,tampico,tamaulipas,MX,CreditCard,False
ORD-0091,2026-02-20 02:32:24,2026-02-20 12:44:11,Cancelled,MX,Seller,Standard,PROD-20,Seasoning,0,,,,,,tampico,tamaulipas,MX,CreditCard,False
ORD-0091,2026-02-20 02:32:24,2026-02-20 12:44:11,Cancelled,MX,Seller,Standard,PROD-22,Seasoning,0,,,,,,tampico,tamaulipas,MX,CreditCard,False
ORD-0540,2026-02-20 02:18:36,2026-02-21 16:26:26,Shipped,MX,Platform,Standard,PROD-13,Bundle,1,MXN,799.2,,,,MEXICALI,BAJA CALIFORNIA,MX,CreditCard,False
ORD-0471,2026-02-20 01:59:38,2026-02-20 15:01:15,Shipped,MX,Seller,Standard,PROD-17,Bundle,1,MXN,540.0,,93.08,,ENSENADA,BAJA CALIFORNIA,MX,CreditCard,False
ORD-0570,2026-02-19 20:44:38,2026-02-19 21:49:13,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,83.08,,CHIHUAHUA,CHIHUAHUA,MX,CreditCard,False
ORD-0030,2026-02-19 20:10:57,2026-02-20 10:21:19,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,43.08,,MERIDA,YUCATAN,MX,CreditCard,False
ORD-0030,2026-02-19 20:10:57,2026-02-20 10:21:19,Shipped,MX,Seller,Standard,PROD-26,Seasoning,1,MXN,99.0,,42.44,,MERIDA,YUCATAN,MX,CreditCard,False
ORD-0111,2026-02-19 18:35:33,2026-02-19 19:14:56,Shipped,MX,Seller,Standard,PROD-23,Seasoning,6,MXN,594.0,,94.67,,ZAPOPAN,JALISCO,MX,CreditCard,False
ORD-0510,2026-02-19 17:31:50,2026-02-19 18:16:31,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,83.08,,MERIDA,YUCATAN,MX,CreditCard,False
ORD-0213,2026-02-19 17:20:33,2026-02-22 04:59:57,Shipped,MX,Platform,Expedited,PROD-13,Bundle,1,MXN,799.2,,,,REYNOSA,TAMAULIPAS,MX,Other,False
ORD-0545,2026-02-19 16:50:15,2026-02-20 01:59:06,Cancelled,MX,Seller,Standard,PROD-17,Bundle,0,,,,,,ENSENADA,BAJA CALIFORNIA,MX,CreditCard,False
ORD-0323,2026-02-19 16:36:19,2026-02-19 16:49:05,Cancelled,MX,Seller,Standard,PROD-17,Bundle,0,,,,,,ENSENADA,BAJA CALIFORNIA,MX,CreditCard,False
ORD-0290,2026-02-19 13:00:32,2026-02-19 15:13:42,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,4,MXN,540.0,,92.32,,BENITO JUAREZ,QUINTANA ROO,MX,CreditCard,False
ORD-0530,2026-02-18 23:40:49,2026-02-19 15:13:46,Shipped,MX,Seller,Standard,PROD-25,Seasoning,1,MXN,99.0,,22.25,,ATLATLAHUCAN,MORELOS,MX,CreditCard,False
ORD-0530,2026-02-18 23:40:49,2026-02-19 15:13:46,Shipped,MX,Seller,Standard,PROD-36,Seasoning,1,MXN,99.0,,22.73,,ATLATLAHUCAN,MORELOS,MX,CreditCard,False
ORD-0530,2026-02-18 23:40:49,2026-02-19 15:13:46,Shipped,MX,Seller,Standard,PROD-26,Seasoning,1,MXN,99.0,,22.44,,ATLATLAHUCAN,MORELOS,MX,CreditCard,False
ORD-0530,2026-02-18 23:40:49,2026-02-19 15:13:46,Shipped,MX,Seller,Standard,PROD-29,Seasoning,1,MXN,99.0,13.66,19.41,,ATLATLAHUCAN,MORELOS,MX,CreditCard,False
ORD-0463,2026-02-18 21:08:29,2026-02-20 04:35:05,Shipped,MX,Platform,Standard,PROD-13,Bundle,1,MXN,799.2,,9.67,,SANTIAGO DE QUERETARO,QUERETARO,MX,CreditCard,False
ORD-0453,2026-02-18 20:47:04,2026-02-18 21:44:53,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,83.08,,MERIDA,YUCATAN,MX,CreditCard,False
ORD-0156,2026-02-18 16:05:55,2026-02-18 19:40:26,Shipped,MX,Platform,Expedited,PROD-13,Bundle,1,MXN,799.2,,,,MONTERREY,NUEVO LEON,MX,CreditCard,False
ORD-0082,2026-02-18 01:45:59,2026-02-18 08:47:50,Shipped,MX,Platform,Expedited,PROD-13,Bundle,1,MXN,799.2,,,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,Other,False
ORD-0251,2026-02-18 01:07:47,2026-02-19 09:58:58,Shipped,MX,Platform,Standard,PROD-11,Bundle,3,MXN,1649.7,,,,GUADALUPE,NUEVO LEON,MX,CreditCard,False
ORD-0597,2026-02-17 21:28:24,2026-02-18 20:52:44,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,83.08,,TULUM,QUINTANA ROO,MX,CreditCard,False
ORD-0239,2026-02-17 21:08:06,2026-02-23 20:31:51,Shipped,MX,Seller,Standard,PROD-40,Smoked Salt,1,MXN,135.0,,83.08,,CIUDAD APODACA,NUEVO LEON,MX,Installments,False
ORD-0406,2026-02-17 21:05:24,2026-02-17 22:46:58,Shipped,MX,Seller,Standard,PROD-39,Smoked Salt,1,MXN,135.0,,43.02,,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MX,CreditCard,False
